初发扬子寄元大校书,唐,韦应物,凄凄去亲爱，泛泛入烟雾，归棹洛阳人，残钟广陵树，今朝此为别，何处还相遇，世事波上舟，沿洄安得住
初春小雨,唐,韩愈,天街小雨润如酥，草色遥看近却无，最是一年春好处，绝胜烟柳满皇都
利州南渡,唐,温庭筠,澹然空水对斜晖，曲岛苍茫接翠微，波上马嘶看棹去，柳边人歇待船归，数丛沙草群鸥散，万顷江田一鹭飞，谁解乘舟寻范蠡，五湖烟水独忘机
别云间,明,夏完淳,三年羁旅客，今日又南冠，无限山河泪，谁言天地宽，已知泉路近，欲别故乡难，毅魄归来日，灵旗空际看
别房太尉墓,唐,杜甫,他乡复行役，驻马别孤坟，近泪无干土，低空有断云，对棋陪谢傅，把剑觅徐君，唯见林花落，莺啼送客闻
别董大,唐,高适,千里黄云白日曛，北风吹雁雪纷纷，莫愁前路无知己，天下谁人不识君
北青萝,唐,李商隐,残阳西入崦，茅屋访孤僧，落叶人何在，寒云路几层，独敲初夜磬，闲倚一枝藤，世界微尘里，吾宁爱与憎
十一月四日风雨大作,宋,陆游,风卷江湖雨暗村，四山声作海涛翻，溪柴火软蛮毡暖，我与狸奴不出门，僵卧孤村不自哀，尚思为国戍轮台，夜阑卧听风吹雨，铁马冰河入梦来
十五从军征,汉,汉乐府,十五从军征，八十始得归，道逢乡里人，家中有阿谁，遥看是君家，松柏冢累累，兔从狗窦入，雉从架上飞，中庭生旅谷，井上生旅葵，舂谷持作饭，采葵持作羹，羹饭一时熟，不知贻阿谁，出门东向看，泪落沾我衣
千秋岁数声鶗鴂,宋,张先,数声鶗鴂，又报芳菲歇，惜春更把残红折，雨轻风色暴，梅子青时节，永丰柳，无人尽日飞花雪，莫把幺弦拨，怨极弦能说，天不老，情难绝，心似双丝网，中有千千结，夜过也，东窗未白凝残月
千秋岁水边沙外,宋,秦观,水边沙外，城郭春寒退，花影乱，莺声碎，飘零疏酒盏，离别宽衣带，人不见，碧云暮合空相对，忆昔西池会，鹓鹭同飞盖，携手处，今谁在，日边清梦断，镜里朱颜改，春去也，飞红万点愁如海
半死桐重过阊门万事非,宋,贺铸,重过阊门万事非，同来何事不同归，梧桐半死清霜后，头白鸳鸯失伴飞，原上草，露初晞，旧栖新垅两依依，空床卧听南窗雨，谁复挑灯夜补衣
卖花声题岳阳楼,宋,张舜民,木叶下君山，空水漫漫，十分斟酒敛芳颜，不是渭城西去客，休唱阳关，醉袖抚危栏，天淡云闲，何人此路得生还，回首夕阳红尽处，应是长安
南乡子乘彩舫,唐,李珣,乘彩舫，过莲塘，棹歌惊起睡鸳鸯，游女带花偎伴笑，争窈窕，竞折团荷遮晚照
南乡子,宋,辛弃疾,何处望神州，满眼风光北固楼，千古兴亡多少事，悠悠，不尽长江滚滚流，天下英雄谁敌手，曹刘，生子当如孙仲谋
